author, filename, title
"William Shakespeare", "as-you-like-it_TXT_FolgerShakespeare.txt", "As You Like It"
"William Shakespeare", "hamlet_TXT_FolgerShakespeare.txt", "Hamlet"
"William Shakespeare", "loves-labors-lost_TXT_FolgerShakespeare.txt", "Love's Labours Lost"
"William Shakespeare", "richard-iii_TXT_FolgerShakespeare.txt", "Richard III"
"William Shakespeare", "the-tempest_TXT_FolgerShakespeare.txt", "The Tempest"
"Zora Neale Hurston", "hurston-forty-yards.txt", "Forty Yards"
"Zora Neale Hurston", "hurston-lawing-and-jawing.txt", "Lawing and Jawing"
"Zora Neale Hurston", "hurston-woofing.txt", "Woofing"
"Zora Neale Hurston", "hurston-de-turkey-and-de-law.txt", "De Turkey and De Law"
"Zora Neale Hurston", "hurston-poker.txt", "Poker!"
